Sample	Oligotypes	Size	Host
Al0184	1	59.9	"A. kojimai"
Al0186	2	54.6	"A. kojimai"
Al0187	1	57.6	"A. kojimai"
Al0188	1	48.1	"A. kojimai"
Al0189	1	52	"A. kojimai"
Al0191	1	44.7	"A. kojimai"
Al0192	2	51.4	"A. kojimai"
Al0258	2	64.3	"A. kojimai"
Al0259	2	84.6	"A. kojimai"
Al0260	2	63	"A. kojimai"
Al0261	2	76.5	"A. kojimai"
Al0262	2	78.3	"A. kojimai"
Al0264	2	59	"A. kojimai"
Al0265	3	70	"A. kojimai"
Al0266	2	60.4	"A. kojimai"
Al0267	2	82.5	"A. kojimai"
Al0268	3	67.8	"A. kojimai"
Al0269	1	70.2	"A. kojimai"
Al0271	2	58.5	"A. kojimai"
Al0272	2	63.7	"A. kojimai"
Al0273	2	62.3	"A. kojimai"
Al0274	2	57.1	"A. kojimai"
Al0275	3	64.9	"A. kojimai"
Al0276	2	45.9	"A. kojimai"
Al0277	2	49.9	"A. kojimai"
Al0279	1	58.1	"A. strummeri"
Al0282	1	57.3	"A. strummeri"
Al0283	1	54.1	"A. kojimai"
Al0284	2	61.8	"A. kojimai"
Al0285	1	56.3	"A. strummeri"
Al0286	1	66.2	"A. kojimai"
Al0287	1	67	"A. kojimai"
Al0288	1	47.3	"A. strummeri"
Al0289	1	46.1	"A. strummeri"
Al0290	1	48.2	"A. strummeri"
Al0292	1	46.4	"A. strummeri"
Al0293	1	56.1	"A. kojimai"
Al0294	1	58.3	"A. kojimai"
Al0295	1	66	"A. kojimai"
Al0309	1	63.5	"A. kojimai"
Al0310	2	64	"A. kojimai"
Al0311	1	47.3	"A. kojimai"
Al0313	1	70.2	"A. kojimai"
Al0315	1	82.5	"A. kojimai"
Al0317	2	41.5	"A. kojimai"
Al0318	1	44.7	"A. kojimai"
Al0319	2	47.5	"A. kojimai"
Al0321	1	73.9	"A. boucheti"
Al0323	1	55.3	"A. boucheti"
Al0324	1	81.9	"A. boucheti"
Al0325	1	74.6	"A. boucheti"
Al0326	1	70.8	"A. boucheti"
Al0327	1	84.3	"A. boucheti"
Al0328	1	53.5	"A. boucheti"
Al0329	1	85	"A. boucheti"
Al0330	1	75.3	"A. boucheti"
Al0331	1	80.7	"A. boucheti"
Al0333	1	79.8	"A. boucheti"
Al0334	1	79.9	"A. boucheti"
Al0335	1	67.6	"A. boucheti"
Al0337	1	82	"A. boucheti"
Al0338	1	84.3	"A. boucheti"
Al0339	1	70.9	"A. boucheti"
Al0340	1	54.7	"A. boucheti"
Al0351	2	54.9	"A. kojimai"
Al0352	1	63.8	"A. kojimai"
Al0353	2	69.7	"A. kojimai"
Al0354	1	70.5	"A. kojimai"
Al0355	1	68.1	"A. kojimai"
Al0356	1	70.9	"A. kojimai"
Al0357	1	58.5	"A. kojimai"
Al0358	2	71.9	"A. kojimai"
Al0359	1	87.7	"A. kojimai"
Al0360	1	69.2	"A. kojimai"
Al0361	2	81	"A. kojimai"
Al0362	1	61.6	"A. kojimai"
Al0363	1	65.8	"A. kojimai"
Al0364	2	70.1	"A. kojimai"
Al0365	1	84.8	"A. kojimai"
Al0366	2	77.3	"A. kojimai"
Al0367	1	81.3	"A. kojimai"
Al0368	1	77.6	"A. kojimai"
Al0376	3	67.9	"A. kojimai"
Al0377	3	67	"A. kojimai"
Al0392	1	72.8	"A. kojimai"
Al0393	3	62.9	"A. kojimai"
Al0400	2	76.6	"A. kojimai"
Al0402	2	71.6	"A. kojimai"
Al0403	2	68.6	"A. kojimai"
Al0404	3	73.8	"A. kojimai"
Al0405	3	76	"A. kojimai"
Al0407	2	79.6	"A. kojimai"
Al0408	2	62.9	"A. kojimai"
Al0409	2	65.1	"A. kojimai"
Al0410	2	64	"A. kojimai"
Al0412	2	73.9	"A. kojimai"
Al0416	2	43.7	"A. strummeri"
Al0417	2	50.2	"A. strummeri"
Al0418	2	38.4	"A. strummeri"
Al0419	2	67.3	"A. kojimai"
Al0420	3	55.8	"A. kojimai"
Al0421	1	61	"A. kojimai"
Al0422	1	61.4	"A. kojimai"
Al0423	1	45.4	"A. kojimai"
Al0424	1	59.6	"A. kojimai"
Al0425	3	66.5	"A. kojimai"
Al0426	1	56	"A. kojimai"
Al0432	2	50.3	"A. kojimai"
Al0433	2	42.7	"A. kojimai"
Al0435	3	32.4	"A. kojimai"
Al0436	3	49.6	"A. kojimai"
Al0437	2	42.3	"A. kojimai"
Al0438	3	57.1	"A. kojimai"
Al0439	2	52.2	"A. kojimai"
Al0440	2	58.6	"A. kojimai"
Al0444	2	37	"A. strummeri"
Al0446	2	37.2	"A. strummeri"
Al0448	3	38.8	"A. strummeri"
Al0451	1	63.3	"A. kojimai"
Al0454	2	62.9	"A. kojimai"
Al0455	1	62.7	"A. kojimai"
Al0456	1	68.3	"A. kojimai"
Al0457	2	57.5	"A. kojimai"
Al0458	1	68.4	"A. kojimai"
Al0459	1	65.6	"A. kojimai"
Al0460	2	60.8	"A. kojimai"
Al0461	1	75	"A. kojimai"
Al0462	2	62.1	"A. kojimai"
Al0463	1	63.1	"A. kojimai"
Al0464	2	57.8	"A. kojimai"
Al0467	1	68.7	"A. boucheti"
Al0468	1	70.2	"A. boucheti"
Al0469	2	64.8	"A. kojimai"
Al0471	2	77.1	"A. kojimai"
Al0472	1	78.8	"A. boucheti"
Al0499	1	75.9	"A. boucheti"
Al0500	1	50.9	"A. kojimai"
Al0501	1	56.4	"A. kojimai"
Al0502	1	40.7	"A. strummeri"
Al0503	1	54.5	"A. boucheti"
Al0505	1	65.9	"A. boucheti"
Al0506	1	73.1	"A. boucheti"
Al0511	1	80.6	"A. boucheti"
Al0514	1	82.5	"A. boucheti"
Al0519	1	61.1	"A. boucheti"
Al0520	1	60.9	"A. boucheti"
Al0523	1	71.2	"A. boucheti"
Al0532	4	57.7	"A. boucheti"
Al0535	3	60.9	"A. boucheti"
Al0536	3	63.2	"A. boucheti"
